pedido_id,data_pedido,hora_pedido,vendedor_id,categoria,produto_id,preco_unitario,quantidade,valor_total,frete,estado_cliente,status_pedido,nota_avaliacao
PED-001096,2023-06-30,22:05,VEND-0103,Moda Masculina,PROD-0083,172.17,1,172.17,29.46,CE,Em trânsito,
PED-001097,2024-05-05,08:31,VEND-0007,Casa & Decoração,PROD-0240,250.05,1,250.05,5.97,BA,Entregue,3.0
PED-001098,2024-02-24,15:17,VEND-0029,Eletrônicos,PROD-0497,769.18,1,769.18,41.43,CE,Devolvido,
PED-001099,2024-06-03,13:25,VEND-0053,Eletrônicos,PROD-0042,610.75,2,1221.5,20.21,CE,Entregue,5.0
PED-001100,2024-05-26,11:48,VEND-0061,Beleza & Saúde,PROD-0037,110.15,1,110.15,33.05,PR,Entregue,5.0
PED-001101,2023-10-31,13:41,VEND-0055,Infantil,PROD-0336,98.71,1,98.71,11.34,MG,Entregue,3.0
PED-001102,2024-06-05,10:57,VEND-0080,Moda Feminina,PROD-0114,121.71,1,121.71,27.01,MG,Entregue,5.0
PED-001103,2024-03-15,15:55,VEND-0120,Moda Feminina,PROD-0103,78.61,1,78.61,34.24,SP,Entregue,5.0
PED-001104,2023-05-31,15:06,VEND-0095,Eletrônicos,PROD-0431,257.14,1,257.14,31.56,MG,Entregue,4.0
PED-001105,2024-04-17,08:20,VEND-0030,Moda Feminina,PROD-0136,97.87,1,97.87,36.26,SP,Entregue,5.0
PED-001106,2024-10-19,03:44,VEND-0079,Infantil,PROD-0020,164.14,1,164.14,29.66,MG,Entregue,4.0
PED-001107,2024-04-14,11:21,VEND-0004,Infantil,PROD-0145,30.9,1,30.9,42.09,PE,Cancelado,
PED-001108,2024-12-03,23:30,VEND-0075,Beleza & Saúde,PROD-0289,59.71,1,59.71,,SE,Entregue,4.0
PED-001109,2024-03-05,07:49,VEND-0098,Casa & Decoração,PROD-0205,239.89,1,239.89,32.87,PE,Entregue,3.0
PED-001110,2023-07-23,20:45,VEND-0083,Moda Feminina,PROD-0166,84.54,1,84.54,21.93,MA,Entregue,5.0
PED-001111,2024-10-13,15:34,VEND-0111,Casa & Decoração,PROD-0401,214.13,1,214.13,30.66,PE,Entregue,3.0
PED-001112,2023-05-30,16:37,VEND-0030,Moda Feminina,PROD-0147,99.24,1,99.24,43.01,RJ,Entregue,2.0
PED-001113,2024-01-28,17:13,VEND-0038,Casa & Decoração,PROD-0387,298.98,1,298.98,15.76,BA,Entregue,5.0
PED-001114,2024-11-09,14:20,VEND-0089,Eletrônicos,PROD-0453,715.28,2,1430.55,23.26,CE,Cancelado,
PED-001115,2024-05-13,11:00,VEND-0062,Eletrônicos,PROD-0117,399.76,1,399.76,35.3,MG,Entregue,4.0
PED-001116,2023-06-17,10:37,VEND-0026,Eletrônicos,PROD-0232,349.21,2,698.42,18.01,CE,Cancelado,
PED-001117,2024-11-20,06:51,VEND-0091,Moda Feminina,PROD-0223,108.15,1,108.15,44.03,CE,Entregue,5.0
PED-001118,2023-01-31,10:49,VEND-0078,Eletrônicos,PROD-0012,393.87,1,393.87,13.72,RJ,Entregue,5.0
PED-001119,2023-03-09,09:54,VEND-0026,Eletrônicos,PROD-0098,290.75 ,3,872.25,27.37,MG,Entregue,2.0
PED-001120,2023-06-07,07:59,VEND-0037,Esporte & Lazer,PROD-0314,193.95,1,193.95,16.67,RS,Entregue,4.0
PED-001121,2024-06-20,18:40,VEND-0105,Casa & Decoração,PROD-0291,298.08,1,298.08,8.69,BA,Cancelado,
PED-001122,2023-01-13,10:17,VEND-0019,Beleza & Saúde,PROD-0216,60.59,1,60.59,33.24,GO,Devolvido,
PED-001123,2024-04-24,19:33,VEND-0018,Esporte & Lazer,PROD-0379,263.1,2,526.2,41.07,RJ,Em trânsito,
PED-001124,2024-07-28,10:08,VEND-0102,Moda Masculina,PROD-0354,57.62,1,57.62,20.54,MG,Entregue,2.0
PED-001125,2024-10-04,13:14,VEND-0016,Casa & Decoração,PROD-0125,162.6,1,162.6,23.63,RJ,Entregue,4.0
PED-001126,2023-07-12,12:30,VEND-0022,Esporte & Lazer,PROD-0204,93.47,1,93.47,14.59,RJ,Em trânsito,
PED-001127,2023-02-02,09:44,VEND-0095,Moda Feminina,PROD-0122,153.77,2,307.55,40.64,PI,Entregue,4.0
PED-001128,2023-05-13,22:22,VEND-0063,Moda Masculina,PROD-0468,196.49,1,196.49,7.19,BA,Entregue,4.0
PED-001129,2024-04-21,18:58,VEND-0040,Casa & Decoração,PROD-0237,188.63,1,188.63,7.37,GO,Em trânsito,
PED-001130,2024-09-01,06:38,VEND-0118,Beleza & Saúde,PROD-0094,88.26,1,88.26,15.16,RS,Entregue,5.0
PED-001131,2023-09-24,11:26,VEND-0108,Eletrônicos,PROD-0145,503.7,1,503.7,41.16,RJ,Entregue,4.0
PED-001132,2023-08-08,16:41,VEND-0101,Moda Feminina,PROD-0059,104.41,1,104.41,24.29,CE,Devolvido,
PED-001133,2024-09-24,17:37,VEND-0013,Beleza & Saúde,PROD-0174,92.88,1,92.88,36.69,RJ,Em trânsito,
PED-001134,2023-09-04,17:43,VEND-0075,Eletrônicos,PROD-0282,397.67,2,795.33,6.0,CE,Entregue,5.0
PED-001135,2024-03-19,11:10,VEND-0106,Eletrônicos,PROD-0187,284.61,1,284.61,37.53,PA,Devolvido,
PED-001136,2023-05-08,10:07,VEND-0076,Acessórios,PROD-0063,15.0 ,1,15.0,43.89,PR,Entregue,5.0
PED-001137,2024-09-19,15:20,VEND-0016,Casa & Decoração,PROD-0477,232.47,1,232.47,19.9,RJ,Devolvido,
PED-001138,2024-07-25,13:13,VEND-0079,Eletrônicos,PROD-0267,438.23,1,438.23,25.87,PR,Entregue,4.0
PED-001139,2023-04-27,16:21,VEND-0076,Casa & Decoração,PROD-0127,204.8,1,204.8,13.7,CE,Devolvido,
PED-001140,2023-04-03,18:34,VEND-0024,Eletrônicos,PROD-0482,477.39,1,477.39,34.51,PR,Em trânsito,
PED-001141,2023-02-05,12:33,VEND-0099,Casa & Decoração,PROD-0056,167.72,1,167.72,38.04,RN,Entregue,5.0
PED-001142,2024-10-31,17:18,VEND-0023,Eletrônicos,PROD-0452,317.95,3,953.85,43.24,CE,Devolvido,
PED-001143,2024-06-19,00:06,VEND-0066,Moda Feminina,PROD-0487,194.55,1,194.55,22.64,PA,Entregue,5.0
PED-001144,2023-11-02,11:51,VEND-0067,Esporte & Lazer,PROD-0223,250.49,1,250.49,9.29,CE,Cancelado,
PED-001145,2024-04-12,17:35,VEND-0050,Moda Masculina,PROD-0039,187.32,1,187.32,27.92,RS,Entregue,3.0
PED-001146,2023-02-24,21:05,VEND-0012,Eletrônicos,PROD-0169,314.29,1,314.29,11.39,CE,Entregue,4.0
PED-001147,2024-03-29,08:25,VEND-0109,Infantil,PROD-0328,150.53,1,150.53,27.14,CE,Entregue,4.0
PED-001148,2024-03-26,10:38,VEND-0120,Eletrônicos,PROD-0211,471.92,1,471.92,40.92,RS,Entregue,3.0
PED-001149,2024-04-25,08:45,VEND-0061,Moda Feminina,PROD-0286,68.94,1,68.94,,RJ,Entregue,1.0
PED-001150,2023-08-11,18:55,VEND-0059,Eletrônicos,PROD-0397,427.15,1,427.15,17.05,PI,Entregue,4.0
PED-001151,2024-02-28,06:39,VEND-0033,Moda Feminina,PROD-0300,118.26,1,118.26,34.44,BA,Entregue,3.0
PED-001152,2023-06-01,11:43,VEND-0010,Moda Feminina,PROD-0072,127.59,1,127.59,9.01,CE,Entregue,4.0
PED-001153,2023-07-09,09:24,VEND-0002,Casa & Decoração,PROD-0229,246.38,2,492.75,15.07,SP,Cancelado,
PED-001154,2023-03-21,22:49,VEND-0083,Moda Feminina,PROD-0136,68.63,1,68.63,25.02,MG,Entregue,4.0
PED-001155,2023-12-19,14:08,VEND-0034,Eletrônicos,PROD-0270,510.61,1,510.61,27.71,CE,Entregue,4.0
PED-001156,2024-08-04,15:13,VEND-0022,Moda Feminina,PROD-0391,80.63,1,80.63,19.58,MG,Cancelado,
PED-001157,2024-07-09,18:01,VEND-0084,Esporte & Lazer,PROD-0328,182.7,2,365.4,11.83,PR,Entregue,5.0
PED-001158,2024-01-03,10:10,VEND-0114,Casa & Decoração,PROD-0411,173.11,1,173.11,39.63,RS,Entregue,3.0
PED-001159,2023-10-30,13:25,VEND-0113,Esporte & Lazer,PROD-0314,151.76,2,303.51,18.27,PE,Entregue,4.0
PED-001160,2023-09-05,13:36,VEND-0039,Eletrônicos,PROD-0387,483.14,1,483.14,22.66,CE,Entregue,5.0
PED-001161,2024-09-13,09:18,VEND-0040,Eletrônicos,PROD-0071,511.32,1,511.32,11.78,BA,Cancelado,
PED-001162,2024-07-06,11:00,VEND-0119,Esporte & Lazer,PROD-0409,187.39,1,187.39,24.8,CE,Entregue,4.0
PED-001163,2024-01-22,16:24,VEND-0032,Acessórios,PROD-0416,28.32,1,28.32,26.62,MG,Entregue,4.0
PED-001164,2024-09-27,18:11,VEND-0033,Beleza & Saúde,PROD-0404,84.58,1,84.58,20.94,RJ,Entregue,5.0
PED-001165,2024-09-21,09:33,VEND-0020,Casa & Decoração,PROD-0402,61.25,2,122.5,6.76,MG,Em trânsito,
PED-001166,2024-02-20,11:32,VEND-0060,Casa & Decoração,PROD-0474,180.1,1,180.1,29.77,CE,Cancelado,
PED-001167,2024-05-09,11:48,VEND-0054,Acessórios,PROD-0329,68.18,1,68.18,,SP,Entregue,4.0
PED-001168,2024-09-08,13:18,VEND-0103,Acessórios,PROD-0069,59.0,1,59.0,5.08,RJ,Entregue,5.0
PED-001169,2024-12-02,17:04,VEND-0075,Casa & Decoração,PROD-0276,379.56,2,759.13,6.2,PR,Entregue,5.0
PED-001170,2023-06-22,20:02,VEND-0083,Infantil,PROD-0110,70.1,1,70.1,35.88,RS,Devolvido,
PED-001171,2024-02-05,12:45,VEND-0120,Casa & Decoração,PROD-0084,255.6,1,255.6,28.8,CE,Devolvido,
PED-001172,2023-03-14,02:57,VEND-0046,Infantil,PROD-0289,82.75,1,82.75,10.51,SP,Entregue,4.0
PED-001173,2023-03-05,19:04,VEND-0073,Eletrônicos,PROD-0147,208.54,1,208.54,28.46,BA,Entregue,2.0
PED-001174,2024-05-16,20:45,VEND-0043,Infantil,PROD-0178,35.58,2,71.16,12.31,MG,Entregue,5.0
PED-001175,2024-02-19,14:06,VEND-0079,Esporte & Lazer,PROD-0305,246.76,1,246.76,42.76,CE,Entregue,4.0
PED-001176,2023-06-21,20:08,VEND-0097,Moda Feminina,PROD-0437,154.39,3,463.18,29.52,CE,Entregue,3.0
PED-001177,2024-01-25,12:16,VEND-0018,Eletrônicos,PROD-0424,123.64,1,123.64,14.25,MA,Em trânsito,
PED-001178,2024-07-09,12:22,VEND-0088,Esporte & Lazer,PROD-0420,188.99,1,188.99,42.61,RN,Devolvido,
PED-001179,2023-02-04,19:08,VEND-0119,Eletrônicos,PROD-0305,304.26,1,304.26,8.94,RJ,Entregue,4.0
PED-001180,2024-07-02,11:08,VEND-0112,Moda Masculina,PROD-0189,97.52,1,97.52,38.53,PA,Devolvido,
PED-001181,2023-02-26,08:26,VEND-0017,Eletrônicos,PROD-0400,284.7,1,284.7,27.67,RJ,Em trânsito,
PED-001182,2024-01-30,23:55,VEND-0094,Eletrônicos,PROD-0411,276.82,1,276.82,17.96,SP,Entregue,2.0
PED-001183,2024-04-04,15:24,VEND-0031,Moda Feminina,PROD-0211,154.27,1,154.27,31.89,RJ,Entregue,4.0
PED-001184,2023-06-05,19:14,VEND-0011,Eletrônicos,PROD-0195,772.0,2,1544.0,28.15,SE,Entregue,5.0
PED-001185,2024-12-04,12:44,VEND-0014,Moda Masculina,PROD-0208,127.94,1,127.94,19.16,PR,Entregue,5.0
PED-001186,2023-11-02,15:41,VEND-0100,Casa & Decoração,PROD-0319,217.16,1,217.16,20.4,PI,Entregue,5.0
PED-001187,2023-09-10,14:31,VEND-0111,Moda Masculina,PROD-0184,121.12,1,121.12,35.93,RS,Devolvido,
PED-001188,2023-12-12,19:25,VEND-0016,Moda Feminina,PROD-0408,86.88,1,86.88,15.77,RJ,Entregue,5.0
PED-001189,2023-11-12,10:00,VEND-0015,Infantil,PROD-0330,70.53,1,70.53,8.92,SP,Devolvido,
PED-001190,2024-07-24,16:08,VEND-0092,Moda Feminina,PROD-0202,100.6,1,100.6,33.24,RS,Devolvido,
PED-001191,2023-03-07,21:02,VEND-0116,Beleza & Saúde,PROD-0474,129.67,1,129.67,20.54,RJ,Em trânsito,
PED-001192,2024-11-09,08:40,VEND-0058,Acessórios,PROD-0277,71.39,1,71.39,12.68,SP,Entregue,4.0
PED-001193,2023-11-09,09:43,VEND-0065,Esporte & Lazer,PROD-0125,215.68,1,215.68,31.8,CE,Entregue,5.0
PED-001194,2024-12-14,18:23,VEND-0063,Moda Feminina,PROD-0129,132.72,1,132.72,15.61,PA,Entregue,3.0
PED-001195,2023-04-09,18:14,VEND-0118,Moda Feminina,PROD-0285,107.63,1,107.63,24.31,BA,Em trânsito,
PED-001196,2023-08-06,20:37,VEND-0028,Moda Masculina,PROD-0493,359.65,1,359.65,26.69,CE,Entregue,4.0
PED-001197,2023-12-25,20:18,VEND-0018,Casa & Decoração,PROD-0001,289.68,1,289.68,42.92,MA,Entregue,2.0
PED-001198,2024-07-17,22:16,VEND-0014,Moda Feminina,PROD-0354,25.54,1,25.54,37.02,MG,Entregue,5.0
PED-001199,2024-03-16,11:27,VEND-0066,Casa & Decoração,PROD-0286,132.63,2,265.25,44.48,RJ,Devolvido,
PED-001200,2023-05-05,21:12,VEND-0040,Esporte & Lazer,PROD-0064,203.15,1,203.15,15.99,RJ,Em trânsito,
PED-001201,2024-12-26,05:41,VEND-0040,Esporte & Lazer,PROD-0221,176.58,1,176.58,,PI,Entregue,5.0
PED-001202,2023-07-31,15:53,VEND-0052,Moda Masculina,PROD-0385,184.67,2,369.34,24.07,SP,Em trânsito,
PED-001203,2024-01-29,03:44,VEND-0031,Moda Masculina,PROD-0355,104.75,1,104.75,23.23,RJ,Entregue,3.0
PED-001204,2023-01-09,12:02,VEND-0088,Casa & Decoração,PROD-0495,190.62,1,190.62,21.11,RJ,Entregue,5.0
PED-001205,2023-08-07,12:42,VEND-0033,Moda Feminina,PROD-0458,88.68,1,88.68,31.03,RS,Cancelado,
PED-001206,2023-07-27,21:20,VEND-0013,Infantil,PROD-0197,83.45,2,166.91,36.2,BA,Entregue,4.0
PED-001207,2023-04-03,03:30,VEND-0100,Infantil,PROD-0172,95.25,1,95.25,39.58,PB,Entregue,5.0
PED-001208,2023-02-20,10:59,VEND-0119,Beleza & Saúde,PROD-0017,49.09,1,49.09,10.85,MG,Entregue,2.0
PED-001209,2024-12-24,11:07,VEND-0110,Moda Masculina,PROD-0255,102.79,1,102.79,44.98,RJ,Entregue,4.0
PED-001210,2024-11-01,09:56,VEND-0045,Acessórios,PROD-0320,51.65,2,103.31,43.29,PA,Entregue,4.0
PED-001211,2023-08-28,18:20,VEND-0033,Moda Masculina,PROD-0483,212.18,1,212.18,43.58,RJ,Devolvido,
PED-001212,2024-04-25,10:05,VEND-0041,Eletrônicos,PROD-0426,448.83,1,448.83,6.92,CE,Entregue,1.0
PED-001213,2023-01-23,11:18,VEND-0042,Infantil,PROD-0030,88.02,1,88.02,12.66,PI,Entregue,5.0
PED-001214,2023-08-16,15:49,VEND-0016,Moda Feminina,PROD-0050,126.5,1,126.5,11.1,PI,Entregue,5.0
PED-001215,2023-08-23,10:00,VEND-0021,Moda Masculina,PROD-0096,117.02,1,117.02,24.84,RN,Entregue,4.0
PED-001216,2024-10-08,10:38,VEND-0026,Esporte & Lazer,PROD-0476,287.73,1,287.73,13.04,BA,Cancelado,
PED-001217,2024-07-16,12:06,VEND-0014,Beleza & Saúde,PROD-0469,110.99,1,110.99,44.22,RS,Entregue,2.0
PED-001218,2024-04-14,02:46,VEND-0046,Esporte & Lazer,PROD-0247,73.05,1,73.05,37.57,CE,Entregue,4.0
PED-001219,2023-03-30,09:55,VEND-0086,Moda Feminina,PROD-0062,109.73,1,109.73,9.79,CE,Cancelado,
PED-001220,2024-02-16,08:06,VEND-0026,Eletrônicos,PROD-0161,264.26,1,264.26,21.3,PE,Em trânsito,
PED-001221,2023-04-27,17:13,VEND-0051,Eletrônicos,PROD-0223,459.13,1,459.13,17.22,CE,Em trânsito,
PED-001222,2023-05-20,12:12,VEND-0048,Moda Feminina,PROD-0010,28.96,1,28.96,18.72,CE,Entregue,5.0
PED-001223,2024-08-01,10:15,VEND-0057,Moda Masculina,PROD-0450,224.01,1,224.01,24.41,CE,Entregue,1.0
PED-001224,2024-09-15,22:04,VEND-0116,Moda Feminina,PROD-0279,108.6,1,108.6,34.91,PB,Entregue,5.0
PED-001225,2023-06-03,09:34,VEND-0093,Eletrônicos,PROD-0465,427.35,1,427.35,27.84,CE,Entregue,5.0
PED-001226,2023-01-24,22:49,VEND-0054,Casa & Decoração,PROD-0031,138.33,1,138.33,42.82,PA,Entregue,4.0
PED-001227,2024-01-25,12:33,VEND-0012,Acessórios,PROD-0339,31.74,1,31.74,23.86,GO,Entregue,2.0
PED-001228,2024-10-15,09:22,VEND-0021,Acessórios,PROD-0205,58.25,1,58.25,21.17,RS,Entregue,1.0
PED-001229,2024-09-21,10:30,VEND-0077,Eletrônicos,PROD-0098,487.29,1,487.29,18.89,CE,Em trânsito,
PED-001230,2023-03-01,14:49,VEND-0047,Moda Feminina,PROD-0246,15.0,1,15.0,24.29,CE,Entregue,5.0
PED-001231,2023-04-18,22:54,VEND-0055,Beleza & Saúde,PROD-0278,131.27,1,131.27,38.38,PI,Entregue,5.0
PED-001232,2023-06-15,08:02,VEND-0063,Eletrônicos,PROD-0019,446.65,1,446.65,20.8,SE,Entregue,4.0
PED-001233,2023-04-12,21:22,VEND-0116,Eletrônicos,PROD-0057,236.16,1,236.16,17.53,CE,Entregue,4.0
PED-001234,2024-10-04,09:32,VEND-0079,Eletrônicos,PROD-0372,698.05,2,1396.1,31.71,MA,Em trânsito,
PED-001235,2024-09-24,16:53,VEND-0052,Acessórios,PROD-0093,49.29,1,49.29,33.04,PE,Em trânsito,
PED-001236,2023-01-06,20:52,VEND-0002,Eletrônicos,PROD-0297,480.03,1,480.03,15.42,RJ,Entregue,5.0
PED-001237,2024-04-16,11:27,VEND-0091,Esporte & Lazer,PROD-0192,186.47,1,186.47,9.09,RN,Entregue,5.0
PED-001238,2024-09-05,07:39,VEND-0092,Moda Masculina,PROD-0038,125.48,1,125.48,28.42,CE,Cancelado,
PED-001239,2024-02-20,19:41,VEND-0052,Acessórios,PROD-0052,87.69,1,87.69,27.3,CE,Entregue,1.0
PED-001240,2024-11-28,15:28,VEND-0011,Acessórios,PROD-0062,34.54,1,34.54,21.09,SE,Entregue,5.0
PED-001241,2023-03-26,12:18,VEND-0074,Moda Feminina,PROD-0153,100.05,1,100.05,22.67,CE,Cancelado,
PED-001242,2023-08-24,12:46,VEND-0083,Esporte & Lazer,PROD-0368,243.93 ,1,243.93,22.04,SP,Entregue,5.0
PED-001243,2023-06-10,17:09,VEND-0056,Moda Masculina,PROD-0222,145.4,1,145.4,12.0,PI,Entregue,4.0
PED-001244,2024-12-29,08:05,VEND-0025,Casa & Decoração,PROD-0251,219.63,1,219.63,29.03,CE,Entregue,4.0
PED-001245,2024-02-02,15:39,VEND-0047,Beleza & Saúde,PROD-0226,152.31,1,152.31,,RJ,Devolvido,
PED-001246,2024-03-21,22:21,VEND-0066,Eletrônicos,PROD-0343,772.84,1,772.84,18.91,RS,Entregue,3.0
PED-001247,2024-04-15,01:30,VEND-0029,Esporte & Lazer,PROD-0105,131.51,1,131.51,14.79,RJ,Devolvido,
PED-001248,2023-01-12,13:52,VEND-0078,Casa & Decoração,PROD-0185,58.35,1,58.35,34.99,CE,Devolvido,
PED-001249,2023-02-05,14:39,VEND-0012,Infantil,PROD-0214,76.02,1,76.02,29.95,MG,Cancelado,
PED-001250,2023-08-13,15:51,VEND-0104,Eletrônicos,PROD-0461,590.34,1,590.34,23.18,CE,Entregue,2.0
PED-001251,2023-01-18,20:54,VEND-0004,Esporte & Lazer,PROD-0210,65.16,2,130.31,40.92,MG,Entregue,1.0
PED-001252,2024-11-14,12:29,VEND-0102,Moda Masculina,PROD-0357,140.31,1,140.31,31.06,MG,Entregue,4.0
PED-001253,2024-04-20,18:49,VEND-0055,Esporte & Lazer,PROD-0141,159.05,2,318.1,34.0,CE,Entregue,3.0
PED-001254,2024-03-20,08:15,VEND-0041,Beleza & Saúde,PROD-0062,80.9,1,80.9,18.91,CE,Entregue,3.0
PED-001255,2023-08-20,09:47,VEND-0029,Eletrônicos,PROD-0054,403.07,2,806.13,26.58,PR,Cancelado,
PED-001256,2023-12-18,08:14,VEND-0084,Casa & Decoração,PROD-0382,208.99,1,208.99,26.65,CE,Devolvido,
PED-001257,2024-04-01,19:55,VEND-0035,Moda Masculina,PROD-0162,168.46,1,168.46,35.72,SP,Entregue,2.0
PED-001258,2023-02-26,19:04,VEND-0047,Casa & Decoração,PROD-0169,134.95,1,134.95,30.26,CE,Entregue,3.0
PED-001259,2023-10-08,11:32,VEND-0102,Casa & Decoração,PROD-0406,139.28,1,139.28,44.98,CE,Entregue,4.0
PED-001260,2024-12-11,07:35,VEND-0059,Casa & Decoração,PROD-0262,144.55,1,144.55,18.77,RJ,Entregue,5.0
PED-001261,2024-09-08,11:31,VEND-0115,Esporte & Lazer,PROD-0303,184.16,1,184.16,22.13,PR,Entregue,3.0
PED-001262,2023-04-13,09:54,VEND-0087,Casa & Decoração,PROD-0377,129.57,2,259.15,15.39,BA,Entregue,5.0
PED-001263,2024-11-20,15:56,VEND-0007,Moda Masculina,PROD-0200,251.6,1,251.6,14.59,RN,Entregue,3.0
PED-001264,2023-09-23,19:09,VEND-0060,Moda Masculina,PROD-0496,217.63,1,217.63,26.64,CE,Entregue,5.0
PED-001265,2023-05-13,16:13,VEND-0068,Moda Masculina,PROD-0299,174.79,3,524.37,39.67,SP,Entregue,3.0
PED-001266,2023-04-21,10:38,VEND-0112,Moda Feminina,PROD-0380,170.74,3,512.22,13.18,RS,Entregue,5.0
PED-001267,2024-09-27,11:32,VEND-0108,Casa & Decoração,PROD-0478,36.89,1,36.89,15.8,SP,Entregue,3.0
PED-001268,2023-08-21,17:24,VEND-0030,Infantil,PROD-0327,58.77,1,58.77,13.5,RJ,Em trânsito,
PED-001269,2023-08-31,13:15,VEND-0022,Moda Feminina,PROD-0272,99.41 ,1,99.41,16.93,RN,Entregue,4.0
PED-001270,2023-12-18,14:06,VEND-0097,Esporte & Lazer,PROD-0279,65.69,1,65.69,25.7,PR,Entregue,1.0
PED-001271,2024-09-04,12:22,VEND-0077,Casa & Decoração,PROD-0091,203.5,2,407.0,41.68,RJ,Entregue,1.0
PED-001272,2023-02-01,19:18,VEND-0032,Eletrônicos,PROD-0456,36.48,1,36.48,24.1,PB,Em trânsito,
PED-001273,2023-09-01,22:26,VEND-0088,Beleza & Saúde,PROD-0267,37.25,1,37.25,25.08,RN,Cancelado,
PED-001274,2024-03-02,10:45,VEND-0008,Infantil,PROD-0138,71.15,1,71.15,33.65,RJ,Devolvido,
PED-001275,2024-11-26,15:16,VEND-0048,Infantil,PROD-0387,137.13,2,274.26,43.88,SP,Entregue,5.0
PED-001276,2023-11-20,11:26,VEND-0016,Esporte & Lazer,PROD-0419,186.06,2,372.12,44.0,RS,Entregue,4.0
PED-001277,2024-12-24,13:40,VEND-0120,Infantil,PROD-0403,91.02,1,91.02,38.99,RJ,Entregue,5.0
PED-001278,2024-04-12,11:16,VEND-0071,Casa & Decoração,PROD-0210,306.01,1,306.01,31.67,CE,Em trânsito,
PED-001279,2023-08-27,14:56,VEND-0094,Casa & Decoração,PROD-0381,151.72,1,151.72,39.07,CE,Entregue,4.0
PED-001280,2023-11-13,07:17,VEND-0010,Infantil,PROD-0394,123.15,1,123.15,21.61,PR,Devolvido,
PED-001281,2024-08-02,16:05,VEND-0092,Eletrônicos,PROD-0415,515.67,1,515.67,21.39,PR,Em trânsito,
PED-001282,2024-11-30,15:35,VEND-0031,Moda Masculina,PROD-0125,174.49,1,174.49,5.73,CE,Entregue,4.0
PED-001283,2024-06-17,14:18,VEND-0011,Esporte & Lazer,PROD-0049,114.53,1,114.53,7.26,PI,Entregue,4.0
PED-001284,2023-05-05,16:20,VEND-0022,Moda Feminina,PROD-0138,133.95,2,267.9,28.62,RS,Devolvido,
PED-001285,2024-04-01,03:41,VEND-0054,Moda Masculina,PROD-0275,68.64,1,68.64,7.73,PI,Devolvido,
PED-001286,2024-12-28,17:19,VEND-0072,Acessórios,PROD-0458,46.0,2,92.0,39.16,PB,Entregue,4.0
PED-001287,2024-07-19,07:12,VEND-0007,Esporte & Lazer,PROD-0301,279.09,1,279.09,17.05,SP,Cancelado,
PED-001288,2023-12-10,15:20,VEND-0019,Casa & Decoração,PROD-0104,242.38,1,242.38,28.96,SP,Entregue,3.0
PED-001289,2024-12-01,08:08,VEND-0078,Beleza & Saúde,PROD-0134,145.31,1,145.31,39.32,BA,Devolvido,
PED-001290,2024-07-17,22:28,VEND-0093,Eletrônicos,PROD-0422,217.17,1,217.17,17.42,PE,Entregue,4.0
PED-001291,2023-09-24,18:30,VEND-0006,Eletrônicos,PROD-0055,204.82,1,204.82,40.34,RS,Devolvido,
PED-001292,2023-07-14,09:33,VEND-0016,Moda Feminina,PROD-0050,82.3,1,82.3,33.98,CE,Cancelado,
PED-001293,2023-11-20,14:49,VEND-0027,Moda Masculina,PROD-0231,90.01,2,180.01,31.1,CE,Cancelado,
PED-001294,2023-10-10,15:37,VEND-0108,Beleza & Saúde,PROD-0259,71.19,2,142.37,8.08,SP,Entregue,2.0
PED-001295,2023-03-21,08:45,VEND-0117,Esporte & Lazer,PROD-0385,91.73,1,91.73,43.53,CE,Entregue,3.0
PED-001296,2023-03-16,17:49,VEND-0078,Eletrônicos,PROD-0480,343.33,2,686.67,22.92,RJ,Entregue,3.0
PED-001297,2023-06-28,12:28,VEND-0065,Casa & Decoração,PROD-0011,247.54,1,247.54,25.17,PB,Entregue,5.0
PED-001298,2023-12-02,11:16,VEND-0097,Infantil,PROD-0309,131.22,1,131.22,11.27,CE,Em trânsito,
PED-001299,2024-04-27,09:34,VEND-0002,Infantil,PROD-0037,130.09,1,130.09,20.83,SP,Entregue,5.0
PED-001300,2023-10-23,16:55,VEND-0046,Casa & Decoração,PROD-0456,276.62,1,276.62,25.07,BA,Entregue,4.0
PED-001301,2024-08-17,09:57,VEND-0097,Eletrônicos,PROD-0456,506.98,1,506.98,21.94,MA,Entregue,5.0
PED-001302,2023-04-23,20:23,VEND-0037,Moda Masculina,PROD-0026,194.93,1,194.93,26.11,RJ,Devolvido,
PED-001303,2023-06-11,16:16,VEND-0005,Moda Feminina,PROD-0415,99.11,3,297.32,32.82,PR,Em trânsito,
PED-001304,2024-01-20,10:32,VEND-0115,Casa & Decoração,PROD-0494,247.47,1,247.47,8.81,CE,Entregue,2.0
PED-001305,2023-04-04,10:00,VEND-0097,Eletrônicos,PROD-0292,550.26,1,550.26,43.05,RJ,Entregue,4.0
PED-001306,2023-04-17,15:03,VEND-0115,Casa & Decoração,PROD-0070,81.73,1,81.73,32.99,RJ,Entregue,5.0
PED-001307,2023-05-30,08:30,VEND-0002,Eletrônicos,PROD-0186,405.65,1,405.65,18.63,SP,Entregue,5.0
PED-001308,2023-06-07,13:55,VEND-0017,Infantil,PROD-0290,24.2,1,24.2,7.76,GO,Em trânsito,
PED-001309,2024-09-03,07:45,VEND-0023,Casa & Decoração,PROD-0039,15.0,1,15.0,14.1,BA,Entregue,4.0
PED-001310,2023-02-13,02:02,VEND-0029,Beleza & Saúde,PROD-0467,65.25,1,65.25,5.05,CE,Em trânsito,
