licitacao_id,municipio,ano,objeto,valor_contrato,modalidade,empresa_vencedora,cnpj_vencedora,socio_principal,endereco_empresa,numero_participantes,status
LIC-00316,Camocim,2021,Fornecimento de merenda,43748.78,Pregão,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",5,Concluído
LIC-00317,Camocim,2023,Limpeza urbana,182328.17,Concorrência,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",6,Concluído
LIC-00318,Camocim,2020,Manutenção predial,50100.39,Pregão,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",7,Em execução
LIC-00319,Camocim,2023,Manutenção predial,164435.3,Pregão,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",5,Concluído
LIC-00320,Camocim,2020,Aquisição de equipamentos,60153.73,Tomada de Preços,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",7,Concluído
LIC-00321,Limoeiro do Norte,2020,Material didático,30000.0,Dispensa,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",5,Em execução
LIC-00322,Limoeiro do Norte,2020,Manutenção predial,103786.52,Dispensa,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",4,Concluído
LIC-00323,Limoeiro do Norte,2023,Pavimentação de via,175528.75,Pregão,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",8,Concluído
LIC-00324,Limoeiro do Norte,2020,Aquisição de equipamentos,278254.96,Pregão,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",7,Atrasado
LIC-00325,Limoeiro do Norte,2023,Manutenção predial,353771.39,Dispensa,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",4,Em execução
LIC-00326,Limoeiro do Norte,2021,Material didático,208255.81,Dispensa,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",4,Concluído
LIC-00327,Limoeiro do Norte,2022,Fornecimento de merenda,169577.63,Pregão,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",3,Atrasado
LIC-00328,Limoeiro do Norte,2023,Construção de escola,170093.58,Pregão,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",6,Concluído
LIC-00329,Limoeiro do Norte,2022,Manutenção predial,137652.22,Pregão,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",5,Concluído
LIC-00330,Limoeiro do Norte,2023,Manutenção predial,248632.46,Pregão,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",7,Atrasado
LIC-00331,Limoeiro do Norte,2020,Material didático,179029.91,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",4,Concluído
LIC-00332,Limoeiro do Norte,2021,Reforma de UBS,503420.78,Concorrência,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",5,Concluído
LIC-00333,Limoeiro do Norte,2020,Pavimentação de via,283695.72,Tomada de Preços,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",8,Concluído
LIC-00334,Tauá,2023,Construção de escola,218132.25,Dispensa,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",5,Em execução
LIC-00335,Tauá,2021,Fornecimento de merenda,206863.88,Tomada de Preços,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",3,Em execução
LIC-00336,Tauá,2021,Fornecimento de merenda,150725.42,Tomada de Preços,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",6,Concluído
LIC-00337,Tauá,2021,Construção de escola,111217.92,Concorrência,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",4,Concluído
LIC-00338,Tauá,2022,Aquisição de equipamentos,283606.26,Dispensa,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",4,Concluído
LIC-00339,Tauá,2023,Aquisição de equipamentos,343677.66,Tomada de Preços,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",3,Em execução
LIC-00340,Tauá,2021,Material didático,267273.83,Concorrência,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",8,Concluído
LIC-00341,Tauá,2021,Transporte escolar,194040.72,Pregão,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",4,Concluído
LIC-00342,Tauá,2020,Material didático,156114.7,Pregão,Empresa Norte Serviços,50.268.263/0001-52,Sócio 18,"Rua 18, 336",8,Atrasado
LIC-00343,Tauá,2023,Limpeza urbana,199948.82,Dispensa,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",8,Em execução
LIC-00344,Morada Nova,2021,Serviços de consultoria,87843.87,Pregão,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",4,Atrasado
LIC-00345,Morada Nova,2020,Serviços de consultoria,73931.57,Pregão,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",6,Concluído
LIC-00346,Morada Nova,2023,Construção de escola,246127.45,Dispensa,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",5,Concluído
LIC-00347,Morada Nova,2023,Transporte escolar,233304.8,Dispensa,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",5,Atrasado
LIC-00348,Morada Nova,2023,Fornecimento de merenda,318301.9,Pregão,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",4,Atrasado
LIC-00349,Morada Nova,2020,Transporte escolar,169838.61,Dispensa,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",4,Em execução
LIC-00350,Brejo Santo,2021,Pavimentação de via,288618.13,Pregão,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",6,Concluído
LIC-00351,Brejo Santo,2023,Serviços de consultoria,235387.84,Tomada de Preços,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",5,Em execução
LIC-00352,Brejo Santo,2021,Limpeza urbana,248743.18,Pregão,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",7,Em execução
LIC-00353,Brejo Santo,2023,Material didático,30000.0,Dispensa,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",5,Concluído
LIC-00354,Brejo Santo,2023,Limpeza urbana,104468.94,Pregão,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",7,Em execução
LIC-00355,Brejo Santo,2023,Limpeza urbana,90373.79,Concorrência,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",3,Concluído
LIC-00356,Brejo Santo,2022,Manutenção predial,202655.85,Pregão,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",8,Concluído
LIC-00357,Brejo Santo,2021,Aquisição de equipamentos,274435.18,Concorrência,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",3,Em execução
LIC-00358,Brejo Santo,2021,Material didático,288393.88,Pregão,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",6,Concluído
LIC-00359,Baturité,2021,Fornecimento de merenda,37906.52,Tomada de Preços,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",5,Concluído
LIC-00360,Baturité,2023,Fornecimento de merenda,108825.06,Tomada de Preços,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",4,Em execução
LIC-00361,Baturité,2022,Transporte escolar,30000.0,Tomada de Preços,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",4,Atrasado
LIC-00362,Baturité,2022,Pavimentação de via,211688.51,Concorrência,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",7,Concluído
LIC-00363,Baturité,2021,Manutenção predial,110942.8,Dispensa,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",6,Concluído
LIC-00364,Acaraú,2020,Pavimentação de via,55863.93,Concorrência,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",6,Concluído
LIC-00365,Acaraú,2020,Serviços de consultoria,218832.06,Tomada de Preços,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",5,Concluído
LIC-00366,Acaraú,2023,Fornecimento de merenda,134261.7,Pregão,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",5,Atrasado
LIC-00367,Acaraú,2023,Manutenção predial,318285.8,Tomada de Preços,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",6,Concluído
LIC-00368,Acaraú,2022,Transporte escolar,440835.77,Concorrência,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",7,Concluído
LIC-00369,Acaraú,2021,Material didático,101747.81,Concorrência,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",8,Concluído
LIC-00370,Acaraú,2023,Material didático,146024.64,Dispensa,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",6,Em execução
LIC-00371,Acaraú,2022,Reforma de UBS,167521.83,Tomada de Preços,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",4,Concluído
LIC-00372,Acaraú,2022,Manutenção predial,414899.68,Concorrência,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",7,Em execução
LIC-00373,Granja,2022,Limpeza urbana,169704.08,Concorrência,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",4,Concluído
LIC-00374,Granja,2022,Material didático,116947.76,Dispensa,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",7,Em execução
LIC-00375,Granja,2020,Fornecimento de merenda,277970.24,Pregão,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",3,Concluído
LIC-00376,Granja,2023,Serviços de consultoria,172432.19,Concorrência,Empresa Norte Construções,44.878.285/0001-76,Sócio 23,"Rua 23, 459",4,Atrasado
LIC-00377,Granja,2021,Reforma de UBS,181410.5,Pregão,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",6,Em execução
LIC-00378,Granja,2020,Transporte escolar,294979.16,Concorrência,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",5,Concluído
LIC-00379,Granja,2023,Transporte escolar,293466.52,Tomada de Preços,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",5,Em execução
LIC-00380,Granja,2022,Pavimentação de via,172383.28,Dispensa,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",5,Atrasado
LIC-00381,Granja,2021,Manutenção predial,284449.22,Pregão,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",6,Em execução
LIC-00382,Granja,2020,Pavimentação de via,199717.74,Dispensa,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",4,Concluído
LIC-00383,Granja,2020,Construção de escola,331317.16,Dispensa,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",7,Em execução
LIC-00384,Granja,2021,Transporte escolar,30000.0,Pregão,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",3,Concluído
LIC-00385,Granja,2022,Pavimentação de via,167719.83,Tomada de Preços,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",6,Concluído
LIC-00386,Granja,2023,Transporte escolar,199358.65,Dispensa,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",3,Concluído
LIC-00387,Granja,2023,Serviços de consultoria,58683.18,Concorrência,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",3,Concluído
LIC-00388,Pentecoste,2023,Transporte escolar,125757.94,Dispensa,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",6,Concluído
LIC-00389,Pentecoste,2022,Transporte escolar,259845.3,Dispensa,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",7,Concluído
LIC-00390,Pentecoste,2023,Pavimentação de via,445494.9,Dispensa,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",5,Concluído
LIC-00391,Pentecoste,2020,Construção de escola,97520.9,Pregão,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",8,Atrasado
LIC-00392,Pentecoste,2022,Serviços de consultoria,80621.9,Concorrência,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",4,Em execução
LIC-00393,Pentecoste,2023,Transporte escolar,253745.9,Dispensa,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",3,Em execução
LIC-00394,Pentecoste,2022,Serviços de consultoria,109126.58,Pregão,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",7,Concluído
LIC-00395,Pentecoste,2020,Limpeza urbana,279916.12,Pregão,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",8,Concluído
LIC-00396,Pentecoste,2023,Material didático,250144.44,Dispensa,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",5,Concluído
LIC-00397,Pentecoste,2020,Manutenção predial,62838.98,Dispensa,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",6,Concluído
LIC-00398,Pentecoste,2020,Serviços de consultoria,53447.24,Concorrência,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",6,Em execução
LIC-00399,Pentecoste,2023,Fornecimento de merenda,450078.21,Concorrência,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",5,Concluído
LIC-00400,Pentecoste,2023,Construção de escola,138295.46,Concorrência,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",5,Concluído
LIC-00401,Pentecoste,2022,Serviços de consultoria,252430.5,Pregão,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",3,Em execução
LIC-00402,Pentecoste,2021,Manutenção predial,222929.82,Tomada de Preços,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",3,Em execução
LIC-00403,Beberibe,2021,Fornecimento de merenda,453302.68,Pregão,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",5,Em execução
LIC-00404,Beberibe,2021,Reforma de UBS,42009.08,Tomada de Preços,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",7,Concluído
LIC-00405,Beberibe,2021,Pavimentação de via,106771.47,Pregão,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",5,Atrasado
LIC-00406,Beberibe,2021,Construção de escola,243805.43,Dispensa,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",7,Em execução
LIC-00407,Beberibe,2022,Manutenção predial,344727.46,Tomada de Preços,Empresa Sol Soluções,17.380.177/0001-62,Sócio 16,"Rua 16, 150",3,Em execução
LIC-00408,Beberibe,2022,Construção de escola,71407.55,Tomada de Preços,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",6,Em execução
LIC-00409,Beberibe,2023,Material didático,210971.3,Tomada de Preços,Empresa Sul Serviços,37.806.450/0001-81,Sócio 25,"Rua 25, 298",7,Atrasado
LIC-00410,Beberibe,2023,Transporte escolar,180292.56,Concorrência,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",5,Em execução
LIC-00411,Beberibe,2020,Transporte escolar,433052.14,Tomada de Preços,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",8,Concluído
LIC-00412,Beberibe,2021,Reforma de UBS,371230.16,Pregão,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",7,Concluído
LIC-00413,Beberibe,2022,Transporte escolar,142339.07,Tomada de Preços,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",4,Concluído
LIC-00414,Beberibe,2021,Pavimentação de via,256278.23,Concorrência,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",8,Concluído
LIC-00415,Beberibe,2021,Reforma de UBS,110835.71,Dispensa,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",8,Concluído
LIC-00416,Beberibe,2020,Pavimentação de via,208956.79,Pregão,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",6,Concluído
LIC-00417,Beberibe,2020,Material didático,80280.67,Dispensa,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",5,Atrasado
LIC-00418,Beberibe,2021,Pavimentação de via,321819.27,Concorrência,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",4,Em execução
LIC-00419,Beberibe,2023,Serviços de consultoria,239781.89,Pregão,Empresa Sul Engenharia,38.805.699/0001-80,Sócio 19,"Rua 19, 162",7,Concluído
LIC-00420,Beberibe,2020,Aquisição de equipamentos,198274.54,Dispensa,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",5,Concluído
LIC-00421,Beberibe,2022,Aquisição de equipamentos,145086.54,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",6,Atrasado
LIC-00422,Trairi,2022,Construção de escola,115201.14,Concorrência,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",8,Concluído
LIC-00423,Trairi,2021,Transporte escolar,402399.45,Tomada de Preços,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",3,Atrasado
LIC-00424,Trairi,2021,Manutenção predial,257952.6,Dispensa,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",6,Em execução
LIC-00425,Trairi,2020,Manutenção predial,197171.65,Pregão,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",5,Em execução
LIC-00426,Trairi,2023,Aquisição de equipamentos,151357.86,Tomada de Preços,Empresa Norte Construções,12.819.190/0001-68,Sócio 14,"Rua 14, 191",7,Em execução
LIC-00427,Trairi,2020,Construção de escola,204886.18,Concorrência,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",7,Concluído
LIC-00428,Trairi,2023,Reforma de UBS,101138.91,Tomada de Preços,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",3,Concluído
LIC-00429,Trairi,2020,Transporte escolar,223848.41,Concorrência,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",3,Concluído
LIC-00430,Trairi,2021,Limpeza urbana,234477.91,Tomada de Preços,Empresa Rio Engenharia,87.978.140/0001-71,Sócio 29,"Rua 29, 12",8,Em execução
LIC-00431,Redenção,2021,Transporte escolar,244187.84,Pregão,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",3,Em execução
LIC-00432,Redenção,2022,Serviços de consultoria,113960.18,Dispensa,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",7,Em execução
LIC-00433,Redenção,2020,Limpeza urbana,188100.62,Tomada de Preços,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",4,Concluído
LIC-00434,Redenção,2022,Limpeza urbana,377907.63,Pregão,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",3,Em execução
LIC-00435,Redenção,2020,Aquisição de equipamentos,359884.4,Pregão,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",5,Concluído
LIC-00436,Redenção,2022,Construção de escola,100595.41,Dispensa,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",6,Concluído
LIC-00437,Redenção,2022,Reforma de UBS,283958.39,Concorrência,Empresa Mar Engenharia,25.845.894/0001-41,Sócio 15,"Rua 15, 142",6,Concluído
LIC-00438,Redenção,2022,Construção de escola,121229.14,Tomada de Preços,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",5,Concluído
LIC-00439,Viçosa do Ceará,2023,Limpeza urbana,263393.3,Concorrência,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",6,Concluído
LIC-00440,Viçosa do Ceará,2021,Aquisição de equipamentos,98900.7,Tomada de Preços,Empresa Rio Serviços,11.275.924/0001-68,Sócio 28,"Rua 28, 181",7,Em execução
LIC-00441,Viçosa do Ceará,2023,Construção de escola,143883.18,Concorrência,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",5,Em execução
LIC-00442,Viçosa do Ceará,2021,Reforma de UBS,178866.91,Tomada de Preços,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",3,Concluído
LIC-00443,Viçosa do Ceará,2023,Transporte escolar,124876.34,Dispensa,Empresa Terra Serviços,23.792.495/0001-94,Sócio 27,"Rua 27, 182",8,Em execução
LIC-00444,Viçosa do Ceará,2023,Material didático,195277.42,Concorrência,Empresa Rio Engenharia,52.643.772/0001-62,Sócio 11,"Rua 11, 103",5,Em execução
LIC-00445,Viçosa do Ceará,2023,Aquisição de equipamentos,114986.29,Concorrência,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",5,Concluído
LIC-00446,Viçosa do Ceará,2022,Construção de escola,388003.7,Concorrência,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",7,Em execução
LIC-00447,Viçosa do Ceará,2021,Manutenção predial,94841.71,Dispensa,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",4,Concluído
LIC-00448,Viçosa do Ceará,2023,Construção de escola,30000.0,Dispensa,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",4,Concluído
LIC-00449,Viçosa do Ceará,2023,Material didático,30000.0,Tomada de Preços,Empresa Sul Serviços,92.344.537/0001-98,Sócio 12,"Rua 12, 9",7,Concluído
LIC-00450,Viçosa do Ceará,2020,Serviços de consultoria,83298.51,Dispensa,Empresa Sul Soluções,64.132.607/0001-37,Sócio 6,"Rua 6, 392",4,Em execução
LIC-00451,Viçosa do Ceará,2022,Limpeza urbana,241763.14,Tomada de Preços,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",8,Em execução
LIC-00452,Viçosa do Ceará,2022,Pavimentação de via,282690.37,Concorrência,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",7,Concluído
LIC-00453,Viçosa do Ceará,2020,Limpeza urbana,101079.85,Concorrência,Empresa Terra Engenharia,86.621.839/0001-57,Sócio 24,"Rua 24, 490",7,Atrasado
LIC-00454,Lavras da Mangabeira,2022,Transporte escolar,355599.3,Concorrência,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",6,Concluído
LIC-00455,Lavras da Mangabeira,2021,Limpeza urbana,177914.63,Dispensa,Empresa Sul Engenharia,43.818.836/0001-99,Sócio 21,"Rua 21, 54",6,Concluído
LIC-00456,Lavras da Mangabeira,2023,Manutenção predial,366557.95,Pregão,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",8,Concluído
LIC-00457,Lavras da Mangabeira,2022,Manutenção predial,30000.0,Tomada de Preços,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",4,Atrasado
LIC-00458,Lavras da Mangabeira,2021,Aquisição de equipamentos,156915.49,Tomada de Preços,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",5,Atrasado
LIC-00459,Lavras da Mangabeira,2021,Transporte escolar,317934.71,Pregão,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",8,Em execução
LIC-00460,Lavras da Mangabeira,2023,Pavimentação de via,240534.28,Tomada de Preços,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",3,Atrasado
LIC-00461,Lavras da Mangabeira,2021,Manutenção predial,215843.96,Tomada de Preços,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",3,Em execução
LIC-00462,Lavras da Mangabeira,2020,Transporte escolar,243836.01,Pregão,Empresa Terra Serviços,30.650.774/0001-26,Sócio 22,"Rua 22, 417",3,Em execução
LIC-00463,Lavras da Mangabeira,2021,Manutenção predial,345087.59,Pregão,Empresa Mar Soluções,51.161.687/0001-86,Sócio 4,"Rua 4, 419",5,Concluído
LIC-00464,Lavras da Mangabeira,2023,Limpeza urbana,273051.68,Tomada de Preços,Empresa Rio Construções,25.670.464/0001-44,Sócio 30,"Rua 30, 412",5,Concluído
LIC-00465,Lavras da Mangabeira,2023,Manutenção predial,171166.49,Concorrência,Empresa Norte Construções,61.392.872/0001-32,Sócio 26,"Rua 26, 482",8,Em execução
LIC-00466,Lavras da Mangabeira,2021,Transporte escolar,248451.21,Concorrência,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",8,Em execução
LIC-00467,Lavras da Mangabeira,2021,Reforma de UBS,211987.63,Pregão,Empresa Terra Construções,37.314.755/0001-77,Sócio 7,"Rua 7, 44",5,Em execução
LIC-00468,Jaguaribe,2021,Transporte escolar,252400.76,Concorrência,Empresa Norte Serviços,50.167.643/0001-35,Sócio 13,"Rua 13, 490",7,Em execução
LIC-00469,Jaguaribe,2022,Serviços de consultoria,114730.86,Tomada de Preços,Empresa Norte Serviços,31.474.506/0001-24,Sócio 5,"Rua 5, 60",3,Em execução
LIC-00470,Jaguaribe,2021,Transporte escolar,214081.44,Tomada de Preços,Empresa Norte Engenharia,85.387.857/0001-56,Sócio 3,"Rua 3, 415",3,Em execução
LIC-00471,Jaguaribe,2020,Manutenção predial,302403.28,Tomada de Preços,Empresa Rio Engenharia,67.661.934/0001-15,Sócio 8,"Rua 8, 448",3,Em execução
LIC-00472,Jaguaribe,2022,Transporte escolar,102804.57,Pregão,Empresa Norte Engenharia,85.387.857/0001-56,Sócio 3,"Rua 3, 415",7,Atrasado
LIC-00473,Jaguaribe,2021,Serviços de consultoria,366209.33,Dispensa,Empresa Sol Soluções,23.119.597/0001-77,Sócio 2,"Rua 2, 67",5,Em execução
LIC-00474,Jaguaribe,2021,Transporte escolar,235208.27,Dispensa,Empresa Mar Engenharia,38.329.904/0001-66,Sócio 20,"Rua 20, 228",4,Atrasado
LIC-00475,Jaguaribe,2020,Material didático,287347.89,Concorrência,Empresa Rio Engenharia,66.950.878/0001-85,Sócio 17,"Rua 17, 122",6,Em execução
LIC-00476,Jaguaribe,2022,Reforma de UBS,159665.31,Concorrência,Empresa Norte Serviços,24.190.275/0001-25,Sócio 9,"Rua 9, 62",7,Concluído
LIC-00477,Missão Velha,2023,Aquisição de equipamentos,178952.23,Dispensa,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",7,Concluído
LIC-00478,Missão Velha,2021,Limpeza urbana,241387.21,Concorrência,Empresa Rio Serviços,88.129.401/0001-61,Sócio 10,"Rua 10, 138",3,Concluído
LIC-00479,Missão Velha,2023,Fornecimento de merenda,370028.16,Tomada de Preços,Empresa Norte Serviços,33.395.898/0001-70,Sócio 1,"Rua 1, 398",8,Em execução
